MLPerf Start
INFO 07-28 20:23:00 [tpu_jax_runner.py:756] Batch composition: Total tokens=4, Prefill tokens=4, Decode tokens=0 (0 seqs)
INFO 07-28 20:23:08 [tpu_jax_runner.py:756] Batch composition: Total tokens=1024, Prefill tokens=0, Decode tokens=1024 (1024 seqs)
INFO 07-28 20:23:08 [tpu_jax_runner.py:756] Batch composition: Total tokens=1185, Prefill tokens=164, Decode tokens=1021 (1021 seqs)
INFO 07-28 20:23:08 [tpu_jax_runner.py:756] Batch composition: Total tokens=1162, Prefill tokens=140, Decode tokens=1022 (1022 seqs)
INFO 07-28 20:23:08 [tpu_jax_runner.py:756] Batch composition: Total tokens=1269, Prefill tokens=250, Decode tokens=1019 (1019 seqs)
INFO 07-28 20:23:09 [tpu_jax_runner.py:756] Batch composition: Total tokens=1125, Prefill tokens=103, Decode tokens=1022 (1022 seqs)
INFO 07-28 20:23:09 [tpu_jax_runner.py:756] Batch composition: Total tokens=1286, Prefill tokens=266, Decode tokens=1020 (1020 seqs)
INFO 07-28 20:23:09 [tpu_jax_runner.py:756] Batch composition: Total tokens=1066, Prefill tokens=43, Decode tokens=1023 (1023 seqs)
INFO 07-28 20:23:09 [tpu_jax_runner.py:756] Batch composition: Total tokens=1054, Prefill tokens=31, Decode tokens=1023 (1023 seqs)
INFO 07-28 20:23:09 [tpu_jax_runner.py:756] Batch composition: Total tokens=1165, Prefill tokens=144, Decode tokens=1021 (1021 seqs)
INFO 07-28 20:23:10 [tpu_jax_runner.py:756] Batch composition: Total tokens=1166, Prefill tokens=144, Decode tokens=1022 (1022 seqs)
INFO 07-28 20:23:10 [tpu_jax_runner.py:756] Batch composition: Total tokens=1295, Prefill tokens=275, Decode tokens=1020 (1020 seqs)
INFO 07-28 20:23:10 [tpu_jax_runner.py:756] Batch composition: Total tokens=1447, Prefill tokens=429, Decode tokens=1018 (1018 seqs)
INFO 07-28 20:23:10 [tpu_jax_runner.py:756] Batch composition: Total tokens=1244, Prefill tokens=223, Decode tokens=1021 (1021 seqs)
INFO 07-28 20:23:10 [tpu_jax_runner.py:756] Batch composition: Total tokens=1074, Prefill tokens=51, Decode tokens=1023 (1023 seqs)
INFO 07-28 20:23:11 [tpu_jax_runner.py:756] Batch composition: Total tokens=1058, Prefill tokens=35, Decode tokens=1023 (1023 seqs)
INFO 07-28 20:23:11 [tpu_jax_runner.py:756] Batch composition: Total tokens=1209, Prefill tokens=187, Decode tokens=1022 (1022 seqs)
INFO 07-28 20:23:11 [tpu_jax_runner.py:756] Batch composition: Total tokens=1139, Prefill tokens=117, Decode tokens=1022 (1022 seqs)
INFO 07-28 20:23:11 [tpu_jax_runner.py:756] Batch composition: Total tokens=1300, Prefill tokens=280, Decode tokens=1020 (1020 seqs)
INFO 07-28 20:23:12 [tpu_jax_runner.py:756] Batch composition: Total tokens=1330, Prefill tokens=310, Decode tokens=1020 (1020 seqs)
INFO 07-28 20:23:12 [tpu_jax_runner.py:756] Batch composition: Total tokens=1344, Prefill tokens=325, Decode tokens=1019 (1019 seqs)
INFO 07-28 20:23:12 [tpu_jax_runner.py:756] Batch composition: Total tokens=1116, Prefill tokens=94, Decode tokens=1022 (1022 seqs)
INFO 07-28 20:23:12 [tpu_jax_runner.py:756] Batch composition: Total tokens=1207, Prefill tokens=187, Decode tokens=1020 (1020 seqs)
INFO 07-28 20:23:12 [tpu_jax_runner.py:756] Batch composition: Total tokens=1099, Prefill tokens=77, Decode tokens=1022 (1022 seqs)
INFO 07-28 20:23:13 [tpu_jax_runner.py:756] Batch composition: Total tokens=1418, Prefill tokens=401, Decode tokens=1017 (1017 seqs)
INFO 07-28 20:23:13 [tpu_jax_runner.py:756] Batch composition: Total tokens=1181, Prefill tokens=159, Decode tokens=1022 (1022 seqs)
INFO 07-28 20:23:13 [tpu_jax_runner.py:756] Batch composition: Total tokens=1492, Prefill tokens=473, Decode tokens=1019 (1019 seqs)
INFO 07-28 20:23:13 [tpu_jax_runner.py:756] Batch composition: Total tokens=1133, Prefill tokens=111, Decode tokens=1022 (1022 seqs)
INFO 07-28 20:23:14 [tpu_jax_runner.py:756] Batch composition: Total tokens=1202, Prefill tokens=182, Decode tokens=1020 (1020 seqs)
INFO 07-28 20:23:14 [tpu_jax_runner.py:756] Batch composition: Total tokens=1228, Prefill tokens=208, Decode tokens=1020 (1020 seqs)
INFO 07-28 20:23:14 [tpu_jax_runner.py:756] Batch composition: Total tokens=1220, Prefill tokens=200, Decode tokens=1020 (1020 seqs)
INFO 07-28 20:23:14 [tpu_jax_runner.py:756] Batch composition: Total tokens=1247, Prefill tokens=228, Decode tokens=1019 (1019 seqs)
INFO 07-28 20:23:14 [tpu_jax_runner.py:756] Batch composition: Total tokens=1450, Prefill tokens=435, Decode tokens=1015 (1015 seqs)
INFO 07-28 20:23:15 [tpu_jax_runner.py:756] Batch composition: Total tokens=1352, Prefill tokens=335, Decode tokens=1017 (1017 seqs)
INFO 07-28 20:23:15 [tpu_jax_runner.py:756] Batch composition: Total tokens=1134, Prefill tokens=111, Decode tokens=1023 (1023 seqs)
INFO 07-28 20:23:15 [tpu_jax_runner.py:756] Batch composition: Total tokens=1361, Prefill tokens=342, Decode tokens=1019 (1019 seqs)
INFO 07-28 20:23:15 [tpu_jax_runner.py:756] Batch composition: Total tokens=1225, Prefill tokens=206, Decode tokens=1019 (1019 seqs)
INFO 07-28 20:23:15 [tpu_jax_runner.py:756] Batch composition: Total tokens=1159, Prefill tokens=138, Decode tokens=1021 (1021 seqs)
INFO 07-28 20:23:16 [tpu_jax_runner.py:756] Batch composition: Total tokens=1140, Prefill tokens=118, Decode tokens=1022 (1022 seqs)
INFO 07-28 20:23:16 [loggers.py:118] Engine 000: Avg prompt throughput: 879.3 tokens/s, Avg generation throughput: 4812.8 tokens/s, Running: 1022 reqs, Waiting: 4789 reqs, GPU KV cache usage: 86.6%, Prefix cache hit rate: 2.8%
INFO 07-28 20:23:16 [tpu_jax_runner.py:756] Batch composition: Total tokens=1263, Prefill tokens=243, Decode tokens=1020 (1020 seqs)
INFO 07-28 20:23:16 [tpu_jax_runner.py:756] Batch composition: Total tokens=1422, Prefill tokens=406, Decode tokens=1016 (1016 seqs)
INFO 07-28 20:23:16 [tpu_jax_runner.py:756] Batch composition: Total tokens=1562, Prefill tokens=546, Decode tokens=1016 (1016 seqs)
INFO 07-28 20:23:17 [tpu_jax_runner.py:756] Batch composition: Total tokens=1586, Prefill tokens=571, Decode tokens=1015 (1015 seqs)
INFO 07-28 20:23:17 [tpu_jax_runner.py:756] Batch composition: Total tokens=1354, Prefill tokens=338, Decode tokens=1016 (1016 seqs)
INFO 07-28 20:23:17 [tpu_jax_runner.py:756] Batch composition: Total tokens=1262, Prefill tokens=242, Decode tokens=1020 (1020 seqs)
INFO 07-28 20:23:17 [tpu_jax_runner.py:756] Batch composition: Total tokens=1385, Prefill tokens=368, Decode tokens=1017 (1017 seqs)
INFO 07-28 20:23:17 [tpu_jax_runner.py:756] Batch composition: Total tokens=1334, Prefill tokens=316, Decode tokens=1018 (1018 seqs)
INFO 07-28 20:23:18 [tpu_jax_runner.py:756] Batch composition: Total tokens=1535, Prefill tokens=522, Decode tokens=1013 (1013 seqs)
INFO 07-28 20:23:18 [tpu_jax_runner.py:756] Batch composition: Total tokens=1440, Prefill tokens=424, Decode tokens=1016 (1016 seqs)
INFO 07-28 20:23:18 [tpu_jax_runner.py:756] Batch composition: Total tokens=1451, Prefill tokens=436, Decode tokens=1015 (1015 seqs)
INFO 07-28 20:23:18 [tpu_jax_runner.py:756] Batch composition: Total tokens=1326, Prefill tokens=308, Decode tokens=1018 (1018 seqs)
INFO 07-28 20:23:19 [tpu_jax_runner.py:756] Batch composition: Total tokens=1252, Prefill tokens=232, Decode tokens=1020 (1020 seqs)
INFO 07-28 20:23:19 [tpu_jax_runner.py:756] Batch composition: Total tokens=1921, Prefill tokens=909, Decode tokens=1012 (1012 seqs)
INFO 07-28 20:23:19 [tpu_jax_runner.py:756] Batch composition: Total tokens=1258, Prefill tokens=238, Decode tokens=1020 (1020 seqs)
INFO 07-28 20:23:19 [tpu_jax_runner.py:756] Batch composition: Total tokens=1539, Prefill tokens=523, Decode tokens=1016 (1016 seqs)
INFO 07-28 20:23:19 [tpu_jax_runner.py:756] Batch composition: Total tokens=1556, Prefill tokens=543, Decode tokens=1013 (1013 seqs)
INFO 07-28 20:23:20 [tpu_jax_runner.py:756] Batch composition: Total tokens=1178, Prefill tokens=156, Decode tokens=1022 (1022 seqs)
INFO 07-28 20:23:20 [tpu_jax_runner.py:756] Batch composition: Total tokens=1393, Prefill tokens=377, Decode tokens=1016 (1016 seqs)
INFO 07-28 20:23:20 [tpu_jax_runner.py:756] Batch composition: Total tokens=1456, Prefill tokens=440, Decode tokens=1016 (1016 seqs)
INFO 07-28 20:23:20 [tpu_jax_runner.py:756] Batch composition: Total tokens=1219, Prefill tokens=200, Decode tokens=1019 (1019 seqs)
INFO 07-28 20:23:20 [tpu_jax_runner.py:756] Batch composition: Total tokens=1430, Prefill tokens=415, Decode tokens=1015 (1015 seqs)
INFO 07-28 20:23:21 [tpu_jax_runner.py:756] Batch composition: Total tokens=1380, Prefill tokens=360, Decode tokens=1020 (1020 seqs)
INFO 07-28 20:23:21 [tpu_jax_runner.py:756] Batch composition: Total tokens=1355, Prefill tokens=337, Decode tokens=1018 (1018 seqs)
INFO 07-28 20:23:21 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=8192, Decode tokens=0 (0 seqs)
INFO 07-28 20:23:22 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=8192, Decode tokens=0 (0 seqs)






MMLU Start
INFO 07-28 20:24:51 [tpu_jax_runner.py:756] Batch composition: Total tokens=59, Prefill tokens=59, Decode tokens=0 (0 seqs)
INFO 07-28 20:24:51 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=8137, Decode tokens=55 (55 seqs)
INFO 07-28 20:24:52 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=8105, Decode tokens=87 (87 seqs)
INFO 07-28 20:24:52 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=8071, Decode tokens=121 (121 seqs)
INFO 07-28 20:24:53 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=8091, Decode tokens=101 (101 seqs)
INFO 07-28 20:24:53 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=8112, Decode tokens=80 (80 seqs)
INFO 07-28 20:24:53 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=8111, Decode tokens=81 (81 seqs)
INFO 07-28 20:24:54 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=8114, Decode tokens=78 (78 seqs)
INFO 07-28 20:24:54 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=8131, Decode tokens=61 (61 seqs)
INFO 07-28 20:24:54 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=8121, Decode tokens=71 (71 seqs)
INFO 07-28 20:24:54 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=8094, Decode tokens=98 (98 seqs)
INFO 07-28 20:24:54 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=8114, Decode tokens=78 (78 seqs)
INFO 07-28 20:24:55 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=8116, Decode tokens=76 (76 seqs)
INFO 07-28 20:24:55 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=8121, Decode tokens=71 (71 seqs)
INFO 07-28 20:24:55 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=8118, Decode tokens=74 (74 seqs)
INFO 07-28 20:24:55 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=8120, Decode tokens=72 (72 seqs)
INFO 07-28 20:24:55 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=8116, Decode tokens=76 (76 seqs)
INFO 07-28 20:24:56 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=8116, Decode tokens=76 (76 seqs)
INFO 07-28 20:24:56 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=8115, Decode tokens=77 (77 seqs)
INFO 07-28 20:24:56 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=8115, Decode tokens=77 (77 seqs)
INFO 07-28 20:24:56 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=8115, Decode tokens=77 (77 seqs)
INFO 07-28 20:24:56 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=8115, Decode tokens=77 (77 seqs)
INFO 07-28 20:24:57 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=8115, Decode tokens=77 (77 seqs)
INFO 07-28 20:24:57 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=8115, Decode tokens=77 (77 seqs)
INFO 07-28 20:24:57 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=8115, Decode tokens=77 (77 seqs)
INFO 07-28 20:24:57 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=8115, Decode tokens=77 (77 seqs)
INFO 07-28 20:24:57 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=8115, Decode tokens=77 (77 seqs)
INFO 07-28 20:24:58 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=8111, Decode tokens=81 (81 seqs)
INFO 07-28 20:24:58 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=8074, Decode tokens=118 (118 seqs)
INFO 07-28 20:24:58 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=8119, Decode tokens=73 (73 seqs)
INFO 07-28 20:24:58 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=8110, Decode tokens=82 (82 seqs)
INFO 07-28 20:24:58 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=8060, Decode tokens=132 (132 seqs)
INFO 07-28 20:24:59 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=8118, Decode tokens=74 (74 seqs)
INFO 07-28 20:24:59 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=8148, Decode tokens=44 (44 seqs)
INFO 07-28 20:24:59 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=8186, Decode tokens=6 (6 seqs)
